"Year","trophic_group","Island","count.ha","biomass.kgha","count15","biomass15","Ca_mg","Fe_mg","Se_mig","Zn_mg","VitA_mig","O3_g","Protein_g","Ca_mg15","Fe_mg15","Se_mig15","Zn_mg15","VitA_mig15","O3_g15","Protein_g15","biomass.SE","Ca.SE","Fe.SE","Zn.SE","VitA.SE","O3.SE","Protein.SE","biomass.SE15","Ca.SE15","Fe.SE15","Zn.SE15","VitA.SE15","O3.SE15","Protein.SE15"
2010,"Herbivores Microvores Detritivores","Moorea",854.666666666667,115.3912562488,532,111.512916647667,45360.3285664973,803.446536636167,36918.1250192827,2494.29881070573,43248.1590023833,115.182569975667,20985.404764703,43387.0955245,778.871697103333,36204.3026396333,2386.18138568667,41029.9936768667,110.799147878333,20291.0023280333,31.4688635705941,12172.9025435043,239.857863101164,767.249840240829,11221.209683758,29.3540612673472,5682.93328215379,31.062980868016,12016.8629719774,238.880867341274,760.952316275893,10969.0563743168,28.8024277398368,5610.38759190651
2011,"Herbivores Microvores Detritivores","Moorea",1178.66666666667,224.287697755267,698.666666666667,218.376010403333,87710.42223318,1528.70065193373,71978.3466422093,4829.10412600287,86827.8917250333,220.241528980667,40734.5221205953,83462.5408592,1486.2532354,70672.9749092,4666.95975159333,81646.1215505333,213.108839576,39666.675791,68.3906712305615,26991.5752404898,521.927891946598,1715.88748395761,23214.4120061481,63.6721155449212,12355.799577575,68.163376364756,26838.1226434136,523.590140508685,1716.82225151176,23619.2388683286,63.3021975409492,12314.5144206001
2012,"Herbivores Microvores Detritivores","Moorea",987.586206896552,207.297397215862,664.827586206897,204.831391235069,87269.8475604069,1520.1506712059,66030.5764434638,4763.31962434621,73371.5251871276,206.039504783069,37780.1396659641,85914.9269576552,1503.46949894552,65548.5484982069,4690.38316474828,71759.495523069,203.230085947552,37337.481352931,63.7541310143543,29253.6380062899,497.633605066379,1632.55698667437,21517.1301762882,60.6251318564792,11559.2093895735,63.4471006893514,29102.3279892734,496.131174039314,1623.99020535871,21387.4964525775,60.2504890502299,11504.1956752638
2013,"Herbivores Microvores Detritivores","Moorea",995,146.25672150825,467.5,136.722374200625,51119.6393426631,900.721339742,43297.2048219409,3265.96057189975,60374.7299490969,134.947285665,26440.1224343894,45988.677705875,822.59625079375,40644.8718491875,3005.853956625,55545.325235,124.6864858725,24724.300262625,45.9677927837614,16092.0189623172,305.291099042727,1130.54494063624,18570.6301394368,40.4141810762792,8277.45605953767,43.506882192149,14902.1832597907,283.025395471943,1060.72445944922,17907.0375549048,37.9704448515529,7834.46964925965
2014,"Herbivores Microvores Detritivores","Moorea",933.333333333333,88.016583546,378.666666666667,79.8669084289333,36359.131302652,647.656569872433,26232.1809250683,1999.082762757,30557.8168819413,87.1603944096,16050.9968540851,32264.3758154,573.773451414333,23746.8274811,1766.04884377,27590.6277808333,78.8476850311667,14581.8989193,20.2344163857295,9865.25435528095,165.668541461664,536.265347370575,6366.32856624485,19.2913153410498,3676.71798699971,19.0803365623626,9266.66449049879,153.37090405436,498.844353217638,6045.03301177417,18.260584587319,3470.83072963718
2015,"Herbivores Microvores Detritivores","Moorea",1781.33333333333,130.167164657933,618.666666666667,114.592419006933,53464.5267272188,884.454822819067,40784.9721081358,2885.82014370607,65795.267456292,132.901118433667,23605.7251765681,42461.1485929333,779.987116741333,37102.3058132667,2587.40699335333,44537.2559802667,111.766364512667,20790.9266773333,38.3925719900557,14803.6846367046,301.959270232163,1010.78142552028,14143.597456564,35.4066846977646,6939.23739440475,38.9831078701074,15348.1123703806,309.275112838512,1026.61042810943,13690.5950816359,36.0989094175137,7048.08003454187
2016,"Herbivores Microvores Detritivores","Moorea",662.666666666667,72.2177191138333,332,69.4946145663333,25900.6073491567,477.5589409693,21722.3282695477,1541.85744878543,27725.2577103367,70.6937833954,13124.9285796863,24250.2555922667,459.309476184,21108.1882790667,1470.68304342667,26326.1163911667,67.6294228186667,12633.4142126,19.698849626873,7207.88848591237,141.408531852024,477.283003876082,7373.81106762717,18.0503676641918,3556.15844807922,19.496060186848,7054.71727157433,140.017188977571,472.115218975741,7314.91663736223,17.7970736204763,3519.65976344313
2017,"Herbivores Microvores Detritivores","Moorea",811.428571428571,82.6877106437143,365.714285714286,71.3445450485714,28297.8599801779,506.358282629286,24819.3345175986,1559.66225223979,33897.5344877571,85.5238195789286,15053.4085144529,23628.9252807143,431.845812607143,22299.1450607143,1305.56247121429,28149.9237657143,72.8797650764286,13023.6995309286,20.5034686000889,7441.07360799076,139.73259435495,462.851173387081,8061.13601040509,20.7262303115993,3710.91398531401,17.9142828229566,6306.84059784075,119.584644588053,405.667824388038,6996.73972835748,17.6967390552609,3252.92599892798
2018,"Herbivores Microvores Detritivores","Moorea",837.333333333333,69.3942291574333,266.666666666667,58.3229006457667,23448.5788672094,421.6133752595,21677.2399388458,1345.83069757573,26879.7820795297,69.5965107814667,12640.403835649,18371.9562624333,358.003133038333,19124.4817879667,1125.33765339267,21686.301459,57.0077519149333,10648.6345993333,16.2393224606719,5480.22662184063,108.512047067413,352.30489523112,5901.18760863534,15.6490248860759,2948.20098483155,13.9571472782763,4329.55230286994,93.7775620617789,305.465885588167,4863.9253830944,13.0630997140584,2539.53286187499
2019,"Herbivores Microvores Detritivores","Moorea",1200,128.100919483077,501.538461538462,115.143359339615,48478.9958728462,829.032443572308,36469.6480096923,2785.05970937769,50257.0566316154,124.344515009923,23187.3355144538,43729.0217739231,761.319941879231,34113.1314049231,2503.91382793846,42481.6045654615,109.191127977692,20878.067645,48.6082748302498,18127.8697826084,335.530302077178,1121.37749918216,17072.8254916215,45.2471790663442,8786.30505776623,46.5151146952947,17152.9960604664,328.062250439245,1081.90706616327,15877.4308432906,41.9501350158872,8409.84580124
2020,"Herbivores Microvores Detritivores","Moorea",1241.37931034483,86.6717221586896,415.172413793103,72.6872323151724,32026.0122279366,530.325705038655,28960.1945236848,1725.17507848397,34359.5993147345,93.331864075931,15831.0936560386,25692.7440931379,458.568258864828,25987.379047069,1449.10765437241,26554.710567,76.8522427741379,13320.2700176552,18.2229654374333,6979.84036535277,118.227676620682,410.374196552471,6989.92840850735,19.5238943840486,3321.15906946408,15.9340508087693,6276.967621499,114.084308209773,393.293123113529,5451.39875981036,16.6224382121079,2920.21139251919
2010,"Mobile invertivore","Moorea",690.909090909091,50.63703426,226.666666666667,42.3289944072727,17855.6361371212,268.271808482515,20348.7879724242,670.352867143939,35916.835035303,54.1157329367879,9321.03795589091,12675.9365449091,215.49165483797,17410.5752135758,541.388203378485,25283.5180270303,42.5756727280303,7810.3271612697,12.812187270245,3517.66752089038,65.8090101275398,163.368833067188,6941.59806313719,12.2506536964636,2368.0207212341,12.2885854626887,3214.04487697194,62.2998370393094,153.824252137719,6318.40622444776,11.6158125069992,2269.30082811194
2011,"Mobile invertivore","Moorea",528,60.4430553134,224,54.1874494551333,22561.3433147333,316.731340924667,25113.7475327333,739.547455336,42900.4571366,65.3648175853333,11114.3787846,18484.3206632,277.771479029333,22483.9486296,652.865173793333,36116.9736764,57.1334383817333,9991.31887773333,21.4077406023632,6133.59510398294,113.065486912817,268.262210782712,11184.4451207519,20.8126615494118,3964.00592106659,21.2390806651401,6249.17025576798,111.754986086326,264.617060227455,11498.7636248228,20.8366598191561,3928.65026973848
2012,"Mobile invertivore","Moorea",924.285714285714,92.0340194258214,292.857142857143,83.62094900325,28618.7811572143,435.543234390357,39478.1605986071,1114.76572526429,64094.3725590357,91.0413669735357,17023.0039946107,22725.6402263214,378.607627428214,36690.3036543214,975.0339059125,53158.884884,78.65238847625,15488.9691138393,33.0572706427902,8756.9096884106,163.200613645434,390.570739861287,17537.4157923956,30.8093992054158,6131.4687627807,33.0894328752188,8748.646275923,162.777967378623,388.781322347352,17536.3771563239,30.8429288626265,6136.72864781035
2013,"Mobile invertivore","Moorea",962.5,82.791048461375,182.5,74.3639707073125,21466.789682275,365.124717920187,37149.1558447437,1139.07485968781,63781.9025020625,79.0160916388125,15325.1149715937,16123.56758825,304.068542009375,34664.3823065625,1005.91866092625,51354.2403310625,65.357127088,13787.749556125,27.661629815728,5697.91111981347,122.825956064853,478.574059163761,23253.6687232784,25.3000374373087,5130.00757453078,26.4136064841132,5240.75869680963,113.666182559987,452.008970951584,20760.6417808723,22.5647607863073,4893.7642142577
2014,"Mobile invertivore","Moorea",768,34.80082635944,102.4,28.75978933244,10009.783253204,128.87367365652,17496.375010132,370.08989720088,27406.96169972,31.14151835044,6484.440086816,6353.059749576,89.84723854932,15334.541209208,277.2431360672,21250.57923056,23.13309119816,5381.488354572,15.1821459509639,2530.33324753452,35.2901549760477,108.405063522882,9463.44264561595,9.79793676146141,2890.06041162607,15.0789007933852,2372.56495559583,31.2026041184337,100.440380623207,9452.32622868554,9.5266366917179,2872.33071751489
2015,"Mobile invertivore","Moorea",498.666666666667,54.3833720990667,165.333333333333,47.9721352228667,17367.4856397133,283.703395893933,22333.84117898,663.0984122062,36282.2281878667,56.215869266,9996.36258307333,13578.1593109333,242.043594350867,19685.4735557333,576.306457446667,28745.8565628667,47.226782739,8836.15401888667,26.3162752302991,6140.13723216394,126.278298585157,309.333246207567,12293.6587019631,23.7237715875459,4871.80951990333,26.0033035675349,6070.9752932933,124.45206435361,304.54403452106,12251.4772193731,23.5295666440141,4811.70438430729
